qid,hop_count,retriever,gold,pred,em,f1
2hop__770487_494646,2,vector,Mono County,"Lee Vining, California",0.0,0.0
2hop__770487_494646,2,graph,Mono County,Not provided in the context.,0.0,0.0
2hop__770487_494646,2,hybrid,Mono County,Mammoth Lakes,0.0,0.0
2hop__263638_69048,2,vector,Honorable Justice Abiodun Smith,Adama Lamikanra,0.0,0.0
2hop__263638_69048,2,graph,Honorable Justice Abiodun Smith,The context does not provide information about the Chief Judge of Tebesa Nemine's birthplace.,0.0,0.0
2hop__263638_69048,2,hybrid,Honorable Justice Abiodun Smith,Adama Lamikanra,0.0,0.0
2hop__739909_807845,2,vector,Digital First Media,MediaNews Group,0.0,0.0
2hop__739909_807845,2,graph,Digital First Media,Not provided in the context.,0.0,0.0
2hop__739909_807845,2,hybrid,Digital First Media,MediaNews Group,0.0,0.0
2hop__46550_85990,2,vector,"anti-slavery activists, modernizers, ex Whigs and ex Free Soilers",Nancy Pelosi,0.0,0.0
2hop__46550_85990,2,graph,"anti-slavery activists, modernizers, ex Whigs and ex Free Soilers",Not provided in the context.,0.0,0.0
2hop__46550_85990,2,hybrid,"anti-slavery activists, modernizers, ex Whigs and ex Free Soilers",Democratic Party leaders.,0.0,0.0
2hop__132954_533882,2,vector,Martin Marietta,Martin Marietta Corporation,0.0,0.8
2hop__132954_533882,2,graph,Martin Marietta,The context does not provide information about a company that built ASM-N-5 Gorgon V or any related merger.,0.0,0.0
2hop__132954_533882,2,hybrid,Martin Marietta,Martin Marietta Corporation,0.0,0.8
2hop__76314_177869,2,vector,Helen Pitts Douglass,Helen Pitts Douglass,1.0,1.0
2hop__76314_177869,2,graph,Helen Pitts Douglass,Louis Philippe I,0.0,0.0
2hop__76314_177869,2,hybrid,Helen Pitts Douglass,William Cooper Nell,0.0,0.0
2hop__215124_83837,2,vector,Karen Fairchild,Karen Fairchild,1.0,1.0
2hop__215124_83837,2,graph,Karen Fairchild,J.J. Watt,0.0,0.0
2hop__215124_83837,2,hybrid,Karen Fairchild,Karen Fairchild,1.0,1.0
2hop__358582_189042,2,vector,New Renaissance Records,Capitol Records,0.0,0.4
2hop__358582_189042,2,graph,New Renaissance Records,Not provided in the context.,0.0,0.0
2hop__358582_189042,2,hybrid,New Renaissance Records,Capitol Records,0.0,0.4
2hop__34734_92852,2,vector,1940,1938,0.0,0.0
2hop__34734_92852,2,graph,1940,Not provided in the context.,0.0,0.0
2hop__34734_92852,2,hybrid,1940,Beginning in 1938.,0.0,0.0
2hop__678516_179720,2,vector,Harold Knight,Laura Knight,0.0,0.5
2hop__678516_179720,2,graph,Harold Knight,Not provided in the context.,0.0,0.0
2hop__678516_179720,2,hybrid,Harold Knight,Ruby Loftus,0.0,0.0
2hop__333020_69048,2,vector,Honorable Justice Abiodun Smith,Adama Lamikanra,0.0,0.0
2hop__333020_69048,2,graph,Honorable Justice Abiodun Smith,Not provided in the context.,0.0,0.0
2hop__333020_69048,2,hybrid,Honorable Justice Abiodun Smith,Not specified.,0.0,0.0
2hop__31085_23241,2,vector,48.8 percent,49.3 percent Christian,0.0,0.4
2hop__31085_23241,2,graph,48.8 percent,Muslim.,0.0,0.0
2hop__31085_23241,2,hybrid,48.8 percent,49.3 percent Christian,0.0,0.4
2hop__401710_456439,2,vector,Helen Mirren,Kathy Bates,0.0,0.0
2hop__401710_456439,2,graph,Helen Mirren,Not provided in the context.,0.0,0.0
2hop__401710_456439,2,hybrid,Helen Mirren,Sarah Jane,0.0,0.0
2hop__510860_22402,2,vector,"nearly 25,000",Not specified.,0.0,0.0
2hop__510860_22402,2,graph,"nearly 25,000",Not provided in the context.,0.0,0.0
2hop__510860_22402,2,hybrid,"nearly 25,000",Not specified.,0.0,0.0
2hop__765180_123956,2,vector,15 February 1942,Not applicable.,0.0,0.0
2hop__765180_123956,2,graph,15 February 1942,The context does not provide information about the Battle at Choo Hoey's birthplace.,0.0,0.0
2hop__765180_123956,2,hybrid,15 February 1942,Not applicable.,0.0,0.0
2hop__418360_67370,2,vector,"January 19, 2018","The context does not provide information about ""real time with the author of The New New Rules.""",0.0,0.0
2hop__418360_67370,2,graph,"January 19, 2018",Not provided in the context.,0.0,0.0
2hop__418360_67370,2,hybrid,"January 19, 2018","The context does not provide information about ""The New New Rules"" or its author.",0.0,0.0
2hop__645448_77615,2,vector,1912,1912,1.0,1.0
2hop__645448_77615,2,graph,1912,Not provided in the context.,0.0,0.0
2hop__645448_77615,2,hybrid,1912,1951,0.0,0.0
2hop__433694_20273,2,vector,1572,1572,1.0,1.0
2hop__433694_20273,2,graph,1572,The context does not provide information about Margaret Knox or her spouse.,0.0,0.0
2hop__433694_20273,2,hybrid,1572,1572,1.0,1.0
2hop__865961_159109,2,vector,central Atlantic Ocean,Cabo Verde,0.0,0.0
2hop__865961_159109,2,graph,central Atlantic Ocean,Cape Verde,0.0,0.0
2hop__865961_159109,2,hybrid,central Atlantic Ocean,Cabo Verde,0.0,0.0
2hop__223823_29898,2,vector,CFJC-TV in Kamloops,CFJC-TV,0.0,0.5
2hop__223823_29898,2,graph,CFJC-TV in Kamloops,CHBC,0.0,0.0
2hop__223823_29898,2,hybrid,CFJC-TV in Kamloops,CFJC-TV,0.0,0.5
2hop__252521_80650,2,vector,Martin Short,Jack Frost,0.0,0.0
2hop__252521_80650,2,graph,Martin Short,Jack Frost,0.0,0.0
2hop__252521_80650,2,hybrid,Martin Short,Jack Frost,0.0,0.0
2hop__547045_131879,2,vector,River Great Ouse,None mentioned.,0.0,0.0
2hop__547045_131879,2,graph,River Great Ouse,Not provided in the context.,0.0,0.0
2hop__547045_131879,2,hybrid,River Great Ouse,None mentioned.,0.0,0.0
